TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_FRAUD
0,2022-01-01,596,1337,57.16,0
1,2022-01-01,2,1318,146.0,0
2,2022-01-01,927,5643,50.99,0
3,2022-01-01,568,6482,44.71,0
4,2022-01-01,2803,4469,96.03,0
5,2022-01-01,541,2217,59.07,0
6,2022-01-01,2000,5143,66.38,0
7,2022-01-01,1948,2629,54.51,0
8,2022-01-01,2938,353,22.0,0
9,2022-01-01,2989,3064,28.42,0
10,2022-01-01,1270,4432,140.75,0
11,2022-01-01,2899,3222,36.58,0
12,2022-01-01,508,5502,139.45,0
13,2022-01-01,2323,754,63.19,0
14,2022-01-01,1152,6252,54.08,0
15,2022-01-01,2389,6127,36.91,0
16,2022-01-01,967,5410,74.32,0
17,2022-01-01,616,4565,12.18,0
18,2022-01-01,1106,1038,8.75,0
19,2022-01-01,2605,65,38.31,0
20,2022-01-01,360,5436,92.74,0
21,2022-01-01,1753,5922,115.78,0
22,2022-01-01,183,4954,39.3,0
23,2022-01-01,1546,1268,37.39,0
24,2022-01-01,731,5622,53.55,0
25,2022-01-01,2916,1844,16.48,0
26,2022-01-01,855,2338,78.32,0
27,2022-01-01,2033,1382,48.03,0
28,2022-01-01,1660,962,43.52,0
29,2022-01-01,935,5188,8.37,0
30,2022-01-01,382,1193,15.35,0
31,2022-01-01,2594,4508,71.91,0
32,2022-01-01,381,2455,23.15,0
33,2022-01-01,1380,1295,4.56,0
34,2022-01-01,2798,1807,76.93,0
35,2022-01-01,1181,5122,56.48,0
36,2022-01-01,1525,2524,70.01,0
37,2022-01-01,2373,2428,25.99,0
38,2022-01-01,712,4088,20.25,0
39,2022-01-01,1597,6017,83.07,0
40,2022-01-01,1186,2809,124.86,0
41,2022-01-01,2109,3669,68.86,0
42,2022-01-01,975,5794,16.56,0
43,2022-01-01,426,1804,82.58,0
44,2022-01-01,1705,279,21.76,0
45,2022-01-01,1505,6564,19.88,0
46,2022-01-01,2955,209,52.5,0
47,2022-01-01,2874,1718,15.88,0
48,2022-01-01,893,4192,4.94,0
49,2022-01-01,2873,2461,66.08,0
