TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_FRAUD
0,2020-01-01,6160,14329,31.83,0
1,2020-01-01,596,8804,57.16,0
2,2020-01-01,9339,30397,28.92,0
3,2020-01-01,4961,30830,81.51,0
4,2020-01-01,6170,5366,25.17,0
5,2020-01-01,9464,5399,97.74,0
6,2020-01-01,8517,39557,41.57,0
7,2020-01-01,6048,21101,28.92,0
8,2020-01-01,6999,22693,63.68,0
9,2020-01-01,6483,29280,50.43,0
10,2020-01-01,2,39966,146.0,0
11,2020-01-01,7638,37147,76.4,0
12,2020-01-01,9557,17780,21.26,0
13,2020-01-01,8848,27287,27.74,0
14,2020-01-01,4128,1275,64.49,0
15,2020-01-01,9499,3717,11.81,0
16,2020-01-01,927,8797,50.99,0
17,2020-01-01,568,25335,44.71,0
18,2020-01-01,6844,14537,74.94,0
19,2020-01-01,5052,14470,72.43,0
20,2020-01-01,2803,33920,96.03,0
21,2020-01-01,7344,30966,4.49,0
22,2020-01-01,4684,31950,24.36,0
23,2020-01-01,4128,31825,26.34,0
24,2020-01-01,7464,2222,37.97,0
25,2020-01-01,8429,7163,5.58,0
26,2020-01-01,541,17598,59.07,0
27,2020-01-01,9286,4614,11.82,0
28,2020-01-01,5891,31673,8.02,0
29,2020-01-01,5726,16323,34.72,0
30,2020-01-01,8566,32232,18.61,0
31,2020-01-01,4554,4027,58.06,0
32,2020-01-01,7163,14737,117.2,0
33,2020-01-01,9913,35608,34.08,0
34,2020-01-01,8978,30794,12.12,0
35,2020-01-01,6685,27220,10.47,0
36,2020-01-01,2000,20058,66.38,0
37,2020-01-01,9192,9140,57.35,0
38,2020-01-01,1948,10762,54.51,0
39,2020-01-01,9066,13109,41.24,0
40,2020-01-01,8162,30744,34.24,0
41,2020-01-01,6060,9242,117.11,0
42,2020-01-01,7233,31321,11.21,0
43,2020-01-01,5093,7619,5.88,0
44,2020-01-01,2938,3763,22.0,0
45,2020-01-01,2989,25316,28.42,0
46,2020-01-01,7269,36767,7.52,0
47,2020-01-01,3842,5969,26.23,0
48,2020-01-01,4361,16697,92.69,0
49,2020-01-01,7328,39,30.39,0
50,2020-01-01,4177,18095,65.15,0
51,2020-01-01,3700,31270,87.38,0
52,2020-01-01,8884,15788,10.99,0
53,2020-01-01,3671,4216,68.98,0
54,2020-01-01,1270,10273,140.75,0
55,2020-01-01,2899,38665,36.58,0
56,2020-01-01,6457,23149,111.71,0
57,2020-01-01,9403,14081,28.54,0
58,2020-01-01,9489,36961,2.76,0
59,2020-01-01,9567,27370,8.12,0
60,2020-01-01,4582,12617,48.3,0
61,2020-01-01,6639,3120,40.66,0
62,2020-01-01,508,36604,139.45,0
63,2020-01-01,2323,4711,63.19,0
64,2020-01-01,1152,26593,54.08,0
65,2020-01-01,2389,1485,36.91,0
66,2020-01-01,5588,28855,58.81,0
67,2020-01-01,5816,6400,35.86,0
68,2020-01-01,967,24874,74.32,0
69,2020-01-01,616,32136,12.18,0
70,2020-01-01,4205,39160,69.66,0
71,2020-01-01,8495,3398,36.87,0
72,2020-01-01,6179,12584,29.06,0
73,2020-01-01,1106,2976,8.75,0
74,2020-01-01,7198,13718,110.83,0
75,2020-01-01,2605,65,38.31,0
76,2020-01-01,360,31044,92.74,0
77,2020-01-01,6854,31597,121.62,0
78,2020-01-01,4052,8544,5.69,0
79,2020-01-01,7843,5243,65.91,0
80,2020-01-01,3944,9033,75.0,0
81,2020-01-01,5403,29573,28.05,0
82,2020-01-01,1753,18473,115.78,0
83,2020-01-01,7749,24401,65.68,0
84,2020-01-01,183,1517,39.3,0
85,2020-01-01,6235,38316,31.54,0
86,2020-01-01,4563,24890,31.18,0
87,2020-01-01,1546,14759,37.39,0
88,2020-01-01,9213,1417,43.85,0
89,2020-01-01,4691,36872,44.81,0
90,2020-01-01,4613,18764,33.95,0
91,2020-01-01,7843,32531,49.09,0
92,2020-01-01,6019,111,50.3,0
93,2020-01-01,3445,2436,36.7,0
94,2020-01-01,731,2281,53.55,0
95,2020-01-01,3425,6351,119.56,0
96,2020-01-01,2916,5818,16.48,0
97,2020-01-01,9902,34919,75.9,0
98,2020-01-01,855,19276,78.32,0
99,2020-01-01,2033,4485,48.03,0
100,2020-01-01,7627,7031,10.51,0
101,2020-01-01,4999,9789,38.41,0
102,2020-01-01,6625,9563,30.1,0
103,2020-01-01,1660,10797,43.52,0
104,2020-01-01,4853,3947,10.8,0
105,2020-01-01,4489,14761,130.35,0
106,2020-01-01,7913,10306,54.46,0
107,2020-01-01,7602,31075,76.13,0
108,2020-01-01,4710,959,12.48,0
109,2020-01-01,4106,26161,83.65,0
110,2020-01-01,6133,939,4.22,0
111,2020-01-01,7383,29719,67.17,0
112,2020-01-01,9931,32948,68.36,0
113,2020-01-01,935,39222,8.37,0
114,2020-01-01,9369,1855,11.44,0
115,2020-01-01,5819,12583,25.22,0
116,2020-01-01,5463,3247,21.59,0
